Oppo_OpportunityId,Oppo_PrimaryCompanyId,Oppo_PrimaryPersonId,Oppo_AssignedUserId,Oppo_ChannelId,Oppo_Description,Oppo_Type,Oppo_Product,Oppo_Source,Oppo_Note,Oppo_CustomerRef,Oppo_Opened,Oppo_Closed,Oppo_Status,Oppo_Stage,Oppo_Forecast,Oppo_Certainty,Oppo_Priority,Oppo_TargetClose,Oppo_CreatedBy,Oppo_CreatedDate,Oppo_UpdatedBy,Oppo_UpdatedDate,Oppo_TimeStamp,Oppo_Deleted,Oppo_Total,Oppo_NotifyTime,Oppo_SMSSent,Oppo_WaveItemId,Oppo_SecTerr,Oppo_WorkflowId,Oppo_LeadID,Oppo_Forecast_CID,Oppo_Total_CID,oppo_scenario,oppo_decisiontimeframe,oppo_Currency,oppo_TotalOrders_CID,oppo_TotalOrders,oppo_totalQuotes_CID,oppo_totalQuotes,oppo_NoDiscAmtSum,oppo_NoDiscAmtSum_CID,Oppo_PrimaryAccountId,oppo_SCRMcompetitor,oppo_SCRMwinner,oppo_SCRMreasonforloss,Oppo_SCRMIsCrossSell,Oppo_SCRMOriginalOppoId,oppo_TalendExterKey,oppo_obfuscated,oppo_note_qualif,oppo_Date_Q_Qualif,oppo_cout,oppo_cout_CID
7302,19736,23264,27,NULL,FPGA,NULL,NULL,NULL,ASIC avec eFPGA,NULL,00:00.0,NULL,Abandonne,Identification,0,1,NULL,00:00.0,27,43:00.0,27,40:11.0,40:11.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
7303,18621,22041,27,NULL,CALX,NULL,NULL,NULL,Projet ASIC avec MCU,NULL,00:00.0,NULL,Lost,Negotiating,2730000,30,NULL,00:00.0,27,45:27.0,27,56:02.0,56:02.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
7304,17566,19963,27,NULL,VEZAD2-WP1,Desogn_Service,NULL,NULL,Spec,NULL,00:00.0,00:00.0,Won,Negotiating,36000,100,NULL,00:00.0,27,49:23.0,27,37:16.0,37:16.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
7305,19754,24442,27,NULL,Préétude ASIC,Preetude,NULL,NULL,Etude ASIC pour application LED : Driver LED + Colonne,NULL,00:00.0,00:00.0,Won,Negotiating,80000,100,NULL,00:00.0,27,53:27.0,27,48:32.0,48:32.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
7306,11945,23309,27,NULL,STAR02 (Projet P),Desogn_Service,NULL,NULL,2 personnes en BE,NULL,00:00.0,00:00.0,Won,Negotiating,272000,100,NULL,00:00.0,27,59:26.0,27,37:09.0,37:09.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
7307,4247,19104,27,NULL,Grenat - Avenant 14 post-traitement,FTK,NULL,NULL,Post-processing des wafers metal fixés,NULL,00:00.0,00:00.0,Won,Negotiating,158000,100,NULL,00:00.0,27,27:01.0,27,37:28.0,37:28.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
7308,17569,19966,34,NULL,RTC Design,NULL,NULL,NULL,"Design RTC (Real Time Clock) En remplacement du produit actuel RV-4162-C7 (TSMC 0.35nm)
Technologie et nœud a déterminer.",NULL,00:00.0,NULL,Lost,Negotiating,1100000,1,NULL,00:00.0,34,17:45.0,34,08:28.0,08:28.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
7309,19776,24435,31,NULL,Design Carte A puce,FTK,NULL,NULL,"Développer leur propre carte SIM (Hardware) pour permettre de mutualiser la plateforme et de l’utiliser seule ou en embarquée sur un SOC.
C’est donc 2 projets en 1 : Carte sim classique puis embarquée.
Coeur ARM ou RiscV, RAM, Flash, Cryptographic accelerator, RNG, interface UART + IP Securisée.

Au regard de la baisse actuelle du prix des cartes SIM, et des éléments issus de l'étude de faisabilité, Valid a décidé (07/08/2023) de mettre en suspend ce projet ... A voir quand la situation évoluera à nouveau ...",NULL,00:00.0,00:00.0,Abandonne,Evaluation technique,4000000,0,NULL,00:00.0,34,52:18.0,27,35:03.0,35:03.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
7310,7965,9540,27,NULL,Lesath-Layout avenant#2,Desogn_Service,NULL,NULL,Jours complémentaires pour tape out retardé,NULL,00:00.0,00:00.0,Won,Negotiating,31750,100,NULL,00:00.0,27,07:23.0,27,37:37.0,37:37.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
7311,17484,24353,27,NULL,CAPELLA-Testchip,Desogn_Service,NULL,NULL,Finalisation P&R,NULL,00:00.0,00:00.0,Won,Negotiating,143684,100,NULL,00:00.0,27,47:17.0,27,37:44.0,37:44.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
7312,4247,19104,27,NULL,Grenat-Avenant#14 - patterns supplémentaires,FTK,NULL,NULL,6 parterns supplémentaires,NULL,00:00.0,00:00.0,Won,Negotiating,6000,100,NULL,00:00.0,27,12:22.0,27,37:54.0,37:54.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
7313,11714,24374,27,NULL,POLLUX Design,NULL,NULL,NULL,Design ASIC intégrant un réseau de neurone en technologie S90 (Skywater),NULL,00:00.0,NULL,Abandonne,Negotiating,940000,80,NULL,00:00.0,34,33:07.0,27,43:37.0,43:37.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
7314,4247,19104,27,NULL,Grenat Test 1 wafer,FTK,NULL,NULL,Test d'un wafer,NULL,00:00.0,00:00.0,Won,Negotiating,6500,100,NULL,00:00.0,27,25:46.0,27,38:02.0,38:02.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
7315,18623,22047,34,NULL,ASIC,NULL,NULL,NULL,"Application Ultrason dans le médical proche des applications de Vermon. 

Le concurrent et l'application etant trop proche des applications de Vermon, le groupe Doliam a décidé qu'IC'ALPS ne donnerait pas suite sur ce projet.
Fin des discussion avec Pytheas sur ce projet. Les autres applications/projets peuvent tout de même être discuté avec Pytheas. Pour les applications ultrason, il faut consulter le groupe pour vérifier si nous pouvons avancer sur le projet.",NULL,00:00.0,NULL,Abandonne,Identification,0,0,NULL,00:00.0,34,30:46.0,34,30:46.0,30:46.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
7316,4247,19104,27,NULL,Grenat - lot prod 1-2,Production,NULL,NULL,Premiers lots de production,NULL,00:00.0,00:00.0,Won,Negotiating,450000,100,NULL,00:00.0,27,03:55.0,27,16:11.0,16:11.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,440000,2
7317,4247,19104,27,NULL,Grenat - Régularisation $,FTK,NULL,NULL,Régulariser le prix des dépenses en $ au réél,NULL,00:00.0,00:00.0,Won,Negotiating,4750,100,NULL,00:00.0,27,05:26.0,27,34:34.0,34:34.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
7318,19761,23307,27,NULL,ASIC,NULL,NULL,NULL,Projet ASIC mais pas de budget pour 2022,NULL,00:00.0,NULL,Abandonne,Identification,0,1,NULL,00:00.0,27,06:17.0,27,54:20.0,54:20.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
7319,11580,13866,27,NULL,P&R,NULL,NULL,NULL,Besoin P&R,NULL,00:00.0,NULL,Abandonne,Qualified,0,20,NULL,00:00.0,27,07:10.0,27,43:06.0,43:06.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
7320,3180,23327,27,NULL,NX-TC7,Desogn_Service,NULL,NULL,P&R testchip en 7nm,NULL,00:00.0,NULL,Abandonne,Construction offre,195000,40,NULL,00:00.0,27,08:15.0,27,42:40.0,42:40.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15000,2
7321,4246,19846,34,NULL,Renfort Layout-2,Desogn_Service,NULL,NULL,Suite mission Layout sur techno XFab 0.18,NULL,00:00.0,00:00.0,Won,Negotiating,24600,100,NULL,00:00.0,34,47:01.0,27,14:13.0,14:13.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
7322,3179,3284,31,NULL,MIRZA - portage MIRA sur noeuds avancés,Preetude,NULL,NULL,"Etude de faisabilité pour envisager un portage de 
- PULSE vers techno SOI 180nm ou un peu plus fine (XT018 -> XT011 ou autres ...?)
- ACQ vers 22 nm (GF ?)",NULL,00:00.0,00:00.0,Won,Negotiating,35000,100,NULL,00:00.0,31,45:03.0,27,14:05.0,14:05.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
7323,4287,4554,27,NULL,STAR03,Desogn_Service,NULL,NULL,Design et P&R,NULL,00:00.0,00:00.0,Won,Negotiating,157000,100,NULL,00:00.0,27,27:17.0,27,35:31.0,35:31.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
7324,1095,1104,27,NULL,CEIBO,NULL,NULL,NULL,"Design et P&R sous système avec MCU

Devis sans CPU à 375 k",NULL,00:00.0,NULL,Abandonne,Construction offre,445000,50,NULL,00:00.0,27,28:51.0,27,59:39.0,59:39.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
7325,4246,19846,34,NULL,Renfort Layout-1.2,Desogn_Service,NULL,NULL,"Layout sur techno XFab 0.18
intervention de juin à octobre (TO planifié en 11/2022)
avec possibilité de travail en remote (après 2 à 3 jours sur site à Clamart)
1 contrainte : utilisation des outils Mentor (Microport en contrat avec Mentor jusqu'à fin 2022, avant d'envisager un basculement vers Cadence/Virtuoso pour l efutur)

2e commande sur l'offre Renfort Layout",NULL,00:00.0,00:00.0,Won,Negotiating,13200,100,NULL,00:00.0,34,37:04.0,27,13:48.0,13:48.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
7326,19796,24377,34,NULL,Design ASIC,Desogn_Service,NULL,NULL,"Application : Interface capteur Gaz
Partition logique 
Design RTL
Synthèse RTL 
PnR",NULL,00:00.0,00:00.0,Won,Negotiating,70000,100,NULL,00:00.0,34,48:14.0,27,13:39.0,13:39.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
7327,4246,19846,31,NULL,Support CAD,NULL,NULL,NULL,"Mission de support CAD sur l'année
Ressource 20% d'un temps plein

Pas de ressource pour répondre à ce besoin",NULL,00:00.0,00:00.0,Abandonne,Construction offre,40000,0,NULL,00:00.0,34,56:48.0,31,07:47.0,07:47.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
7328,11714,24374,27,NULL,Etude Faisabilité POLLUX,Preetude,NULL,NULL,"Étude de faisabilité pour l'analyse du Neurone : Surface et performance.
L’étude doit permettre de prendre une décision de GO/NoGo de la part du client.",NULL,00:00.0,00:00.0,Won,Negotiating,105000,100,NULL,00:00.0,34,00:57.0,27,35:39.0,35:39.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
7329,4299,4629,27,NULL,DENEB Avenant 1-WP1,Desogn_Service,NULL,NULL,+50% IPO/IP3,NULL,00:00.0,00:00.0,Won,Negotiating,175000,100,NULL,00:00.0,27,22:32.0,27,35:46.0,35:46.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
7330,7965,9540,27,NULL,LESATH-OTT,Desogn_Service,NULL,NULL,Reprise bloc digital et P&R,NULL,00:00.0,NULL,Abandonne,Qualified,0,50,NULL,00:00.0,27,06:47.0,27,36:14.0,36:14.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
7331,19801,24381,31,NULL,Design ASIC - Carte SIM,FTK,NULL,NULL,"En partenariat avec Tiempo

Abandon car aucun retour de longs mois ...",NULL,00:00.0,00:00.0,Abandonne,Construction offre,1800000,0,NULL,00:00.0,34,14:57.0,31,02:54.0,02:54.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
7332,19787,24350,27,NULL,ADC,Desogn_Service,NULL,NULL,"Design d'un ASIC intégrant un ADC
Application : Impedance Spectroscopy",NULL,00:00.0,NULL,Abandonne,Qualified,1,5,NULL,00:00.0,34,47:47.0,27,29:54.0,29:54.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
7333,19776,24332,31,NULL,Etude faisabilité VENATOR,Preetude,NULL,NULL,Étude de faisabilité pour déterminer le prix par puce atteignable.,NULL,00:00.0,00:00.0,Won,Negotiating,80000,100,NULL,00:00.0,34,55:37.0,27,34:26.0,34:26.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
7334,4299,4629,27,NULL,DENEB-Avenant 1 WP1.1,Desogn_Service,NULL,NULL,"Débug IP0 à IP3 48
IP4-7 250
Top level 250

discussion complexe pour finaliser IP0-IP3 avant les autres IP + le top",NULL,00:00.0,00:00.0,Won,Negotiating,548000,100,NULL,00:00.0,27,21:33.0,27,35:53.0,35:53.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
7335,9103,10859,27,NULL,TTT22 avenant 1,Desogn_Service,NULL,NULL,Affermissement Option power switch,NULL,00:00.0,00:00.0,Won,Negotiating,21000,100,NULL,00:00.0,27,13:44.0,27,36:00.0,36:00.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
7336,10456,23299,31,NULL,Banga,NULL,NULL,NULL,"Low-Power SRAM Test-Chip

Sélection d'un partenaire plus gros : IC'Alps trop petit et pas assez d'expérience sur noeud avancé => Retex à faire car pas possible de continuer à répondre si toujours le même retour",NULL,00:00.0,00:00.0,Lost,Negotiating,1030000,0,NULL,00:00.0,35,24:27.0,31,41:56.0,41:56.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
7337,19809,24386,27,NULL,DAC IP - 5nm - Migration,NULL,NULL,NULL,"At this moment, we are looking for a DAC IP, in an AVS application shown below. The DAC resides in our ASIC which will be on 5nm TSMC process node. 
We want to interface with an external DC/DC converter and control its output – Vavs. 

Technical Specs
•	Resolution: 8 bit
•	Voltage range: [0.4-0.8]*0.6 = 0.24V to 0.48V.
                    LSB step size is 240 mV / 256 = 0.9375 mV 
•	INL/DNL <= 1 LSB
•	Output resistance: TBD
•	Current driving capability: TBD",NULL,00:00.0,NULL,Abandonne,Identification,0,5,NULL,00:00.0,35,51:19.0,27,25:56.0,25:56.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
7338,9016,23259,27,NULL,PYX02-Avenant1,Desogn_Service,NULL,NULL,Prolongation mission,NULL,00:00.0,00:00.0,Won,Negotiating,12000,100,NULL,00:00.0,27,20:31.0,27,36:07.0,36:07.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
7339,7965,9540,27,NULL,LESATH-Avenant1,Desogn_Service,NULL,NULL,Reprise code RTL,NULL,00:00.0,00:00.0,Won,Negotiating,55000,100,NULL,00:00.0,27,29:06.0,27,36:16.0,36:16.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
7340,1076,20984,27,NULL,ALYA-Avenant1,Desogn_Service,NULL,NULL,Poursuite préétude,NULL,00:00.0,00:00.0,Won,Negotiating,80000,100,NULL,00:00.0,27,30:07.0,27,36:26.0,36:26.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
7341,4247,19104,27,NULL,GRENAT - Marge prod lot1-2,Production,NULL,NULL,marge sur prod,NULL,00:00.0,00:00.0,Won,Negotiating,20172,100,NULL,00:00.0,27,47:11.0,27,34:24.0,34:24.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
7342,19796,24377,34,NULL,Avenant 1,Desogn_Service,NULL,NULL,Design partition logique Asic OxygenB,NULL,00:00.0,00:00.0,Won,Negotiating,12000,100,NULL,00:00.0,34,05:12.0,27,14:27.0,14:27.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
7343,19839,24456,27,NULL,CAPH,FTK,NULL,NULL,Nettoyage panneau solaire. Driveur et pulse du piezo. Envoi email mais données trop floues,NULL,00:00.0,NULL,In Progress,Construction offre,1200000,1,NULL,00:00.0,27,33:16.0,27,30:46.0,30:46.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,480000,2
7344,4247,19104,27,NULL,Traitement wafer 3,FTK,NULL,NULL,Test d'un 3ème wafer,NULL,00:00.0,00:00.0,Won,Negotiating,4500,100,NULL,00:00.0,27,30:09.0,27,34:49.0,34:49.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
7345,3176,3278,31,NULL,Chara v1b,FTK,NULL,NULL,"v1b - 12 mois - 488 k€ (GDSII en 3 mois ...)
avec évolution à minima
+ ajout hot lot (20k€)
- tooling WLCSP (40 k€) à facturer que si nouveau",NULL,00:00.0,00:00.0,Won,Negotiating,468000,100,NULL,00:00.0,31,06:11.0,27,12:30.0,12:30.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,204000,2
7346,3176,3278,31,NULL,Etude conso Chara v2,FTK,NULL,NULL,"étude chara v2 - 3 à 4 mois - 70 k€
réduction à 2 mois pour essai avant chara v1b => 40 k€",NULL,00:00.0,00:00.0,Won,Negotiating,40000,100,NULL,00:00.0,31,07:07.0,27,07:00.0,07:00.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
7347,3176,3278,31,NULL,Pré industrialisation Chara v1,NULL,NULL,NULL,7 à 9 mois - 245 k€,NULL,00:00.0,00:00.0,Abandonne,Negotiating,245000,0,NULL,00:00.0,31,09:06.0,31,31:56.0,31:56.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
7348,4342,24462,27,NULL,ASIC BLE+M23,NULL,NULL,NULL,Bloc BLE+M23,NULL,00:00.0,NULL,Abandonne,Construction offre,400000,30,NULL,00:00.0,27,56:46.0,27,54:25.0,54:25.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
7349,19844,24461,34,NULL,Design ADC Ultra Low Power,NULL,NULL,NULL,Pour un ASIC qui sera réalisé par IC-Logic,NULL,00:00.0,00:00.0,Abandonne,Identification,0,1,NULL,00:00.0,34,00:58.0,27,14:57.0,14:57.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
7350,19841,24458,27,NULL,ASIC Driver LED,NULL,NULL,NULL,"Developpement d'un ASIC pour une plateforme de Driver LED.
Marché : Automobile
A l'etude comme solution alternative aux COTS actuels.",NULL,00:00.0,NULL,Abandonne,Identification,1,1,NULL,00:00.0,34,12:16.0,27,14:08.0,14:08.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
7351,1071,1041,39,NULL,SUBRA2-TIA,NULL,NULL,NULL,"Besoin d'une préétude pour design analogique.
SERCEL n'a pas ressentit l'aspect collaboratif chez IC'Alps.
",NULL,00:00.0,NULL,Lost,Construction offre,75000,30,NULL,00:00.0,27,26:11.0,27,17:32.0,17:32.0,NULL,0,17:32.0,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,",NonKnown,",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
7353,9187,11012,27,NULL,Projet collaboratif,NULL,NULL,NULL,Dois regarder notre participation à un projet,NULL,00:00.0,NULL,Abandonne,Identification,0,1,NULL,00:00.0,27,33:43.0,27,57:34.0,57:34.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
7354,19821,24415,27,NULL,LILII,FTK,NULL,NULL,NDA en cours de signature,NULL,00:00.0,NULL,Abandonne,Construction offre,1480000,1,NULL,00:00.0,27,37:08.0,27,15:15.0,15:15.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,469000,2
7355,7965,9540,27,NULL,LESATH-Avenant2,Desogn_Service,NULL,NULL,Modification du LEF,NULL,00:00.0,00:00.0,Won,Negotiating,15000,100,NULL,00:00.0,27,50:09.0,27,35:04.0,35:04.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
